unicef_region,country_iso3,country,vaccine,year,immunization_coverage,antigen_family,gdp_per_capita_usd,health_exp_pct_gdp,population_total,gni_per_capita_usd,gavi_eligible,pharma_tariff_rate,reporter_flag,oop_health_exp_pct,tariff_x_oop
ECAR,TUR,Turkiye,PCV3,2021,96,PCV,9981.763984,4.56065559,84147318,10240,0,1.368112319117503,1,16.27120399,0.2226083462559287
MENA,ARE,United Arab Emirates,PCV3,2021,95,PCV,44118.50472,5.30494308,9575152,43230,0,3.882396427,1,10.46759415,0.40639350127944396
Non-programme,GBR,United Kingdom,PCV3,2021,91,PCV,47691.37688,12.08347321,66984000,45870,0,1.2518664641090063,1,13.02287769,0.16302903846304365
Non-programme,USA,United States,PCV3,2021,82,PCV,70205.05092,17.35207748,332099760,71730,0,1.8719826154206398,1,10.72964573,0.200857103
LACR,URY,Uruguay,PCV3,2021,94,PCV,17881.81872,8.91955471,3396695,16220,0,6.536230507959228,1,15.81417942,1.0336512198334498
ESAR,ZWE,Zimbabwe,PCV3,2021,88,PCV,2613.605421,2.67111874,15797210,2320,0,7.179413537919545,1,8.88617325,0.6379751253134852
ECAR,ALB,Albania,PCV3,2020,92,PCV,6027.913507,7.46513748,2528480,5970,0,0.5149545459940653,1,59.39613342,0.3058630891909903
MENA,DZA,Algeria,PCV3,2020,83,PCV,3743.541952,5.63830757,44042091,4020,0,8.810044862461389,1,39.6432457,3.492587731105796
LACR,ARG,Argentina,PCV3,2020,75,PCV,8535.59938,10.67246342,45191965,9040,0,7.117608794412783,1,20.85133553,1.4841164914357972
ECAR,ARM,Armenia,PCV3,2020,92,PCV,4268.680933,12.24056244,2961500,4230,0,3.2094787374520153,1,77.84781647,2.498509117175318
Non-programme,AUS,Australia,PCV3,2020,97,PCV,51983.45237,10.70324135,25649248,53770,0,1.3823898003559114,1,15.23493195,0.21060614536796396
ECAR,AZE,Azerbaijan,PCV3,2020,47,PCV,4229.910649,5.84817696,10093121,4480,0,6.838534343288035,1,57.828125,3.9545961882045337
